Scientific_Name,ID,Code,CA_ID,CodeNum,Generic,Subsp,Western,California,Gymno,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source,Flame_duration,Flame_duration.Source,Flame_ht,Flame_ht.Source,Pct_consumed,Pct_consumed.Source,Smolder_duration,Smolder_duration.Source
Abies_spp.,10,Abi_Spp,NA,10,1,NA,NA,NA,1,1,1.3208,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,8.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FEIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_farnesiana,227,Aca_Far,NA,303,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_barbatum,77,Ace_Bar,NA,311,0,0.0,0,0,0,1,0.7366,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,3382.54167,TRY,NA,NA,70.28333,TRY,NA,NA,NA,NA,NA,NA,NA,NA,8.7341667,TRY,13.15,TRY,NA,NA,NA,NA,25.804058,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_glabrum,78,Ace_Gla,NA,321,0,0.0,1,1,0,1,1.016,FVS FFE,NA,NA,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,TRY,9.133333,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_leucoderme,228,Ace_Leu,NA,323,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_macrophyllum,79,Ace_Mac,NA,312,0,0.0,1,1,0,1,0.6096,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,14953.0,TRY,NA,NA,NA,NA,NA,NA,26.4,TRY,NA,NA,NA,NA,25.0,TRY,23.407692,TRY,200.0,TRY,134.0,TRY,29.548,TRY,0.47,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_negundo,80,Ace_Neg,NA,313,0,0.0,0,0,0,1,0.8636,FVS FFE,29.03333,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,9437.8125,TRY,NA,NA,173.8,TRY,NA,NA,29.5,TRY,NA,NA,NA,NA,17.33,TRY,10.576923,TRY,87.0,TRY,38.6,TRY,25.026293,TRY,0.5205,TRY,0.60666667,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_nigrum,81,Ace_Nig,NA,314,0,0.0,0,0,0,1,0.889,FVS FFE,32.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,TRY,26.666667,TRY,200.0,TRY,86.4,TRY,NA,NA,0.62,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_pensylvanicum,82,Ace_Pen,NA,315,0,0.0,0,0,0,1,1.1429999999999998,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0,TRY,10.07625,TRY,100.0,TRY,38.9,TRY,35.540898,TRY,0.44,TRY,0.2,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer_platanoides,229,Ace_Pla,NA,320,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
