ID,Code,Scientific_Name,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source
82,Ace_Pen,Acer_pensylvanicum,NA,NA,NA,NA
83,Ace_Rub,Acer_rubrum,NA,NA,NA,NA
84,Ace_Sac2,Acer_saccharinum,NA,NA,NA,NA
85,Ace_Sac3,Acer_saccharum,NA,NA,NA,NA
86,Ace_Spp,Acer_spp.,NA,NA,NA,NA
87,Aes_Cal,Aesculus_californica,NA,NA,NA,NA
88,Aes_Gla,Aesculus_glabra,NA,NA,NA,NA
89,Aes_Oct,Aesculus_octandra,NA,NA,NA,NA
90,Aes_Spp,Aesculus_spp.,NA,NA,NA,NA
91,Ail_Alt,Ailanthus_altissima,NA,NA,NA,NA
92,Aln_Rho,Alnus_rhombifolia,NA,NA,NA,NA
93,Aln_Rub,Alnus_rubra,NA,NA,NA,NA
94,Ame_Spp,Amelanchier_spp.,NA,NA,NA,NA
95,Arb_Men,Arbutus_menziesii,NA,NA,NA,NA
96,Bet_All,Betula_alleghaniensis,NA,NA,NA,NA
97,Bet_Len,Betula_lenta,NA,NA,NA,NA
98,Bet_Nig,Betula_nigra,NA,NA,NA,NA
99,Bet_Occ,Betula_occidentalis,NA,NA,NA,NA
100,Bet_Pap,Betula_papyrifera,NA,NA,NA,NA
101,Bet_Pop,Betula_populifolia,NA,NA,NA,NA
102,Bet_Spp,Betula_spp.,NA,NA,NA,NA
103,Car_Alb,Carya_alba,NA,NA,NA,NA
104,Car_Aqu,Carya_aquatica,NA,NA,NA,NA
105,Car_Car,Carpinus_caroliniana,NA,NA,NA,NA
106,Car_Cor,Carya_cordiformis,NA,NA,NA,NA
107,Car_Gla,Carya_glabra,NA,NA,NA,NA
108,Car_Ill,Carya_illinoensis,NA,NA,NA,NA
109,Car_Lac,Carya_laciniosa,NA,NA,NA,NA
110,Car_Ova,Carya_ovata,NA,NA,NA,NA
111,Car_Spp,Carya_spp.,NA,NA,NA,NA
112,Car_Tex,Carya_texana,NA,NA,NA,NA
113,Car_Tom,Carya_tomentosa,NA,NA,NA,NA
114,Cas_Den,Castanea_dentata,NA,NA,NA,NA
115,Cat_Spp,Catalpa_spp.,NA,NA,NA,NA
116,Cel_Lae,Celtis_laevigata,NA,NA,NA,NA
117,Cel_Occ,Celtis_occidentalis,NA,NA,NA,NA
118,Cel_Spp,Celtis_spp.,NA,NA,NA,NA
119,Cer_Bet,Cercocarpus_betuloides,NA,NA,NA,NA
120,Cer_Can,Cercis_canadensis,NA,NA,NA,NA
121,Cer_Led,Cercocarpus_ledifolius,NA,NA,NA,NA
122,Chr_Chr,Chrysolepis_chrysophylla,NA,NA,NA,NA
123,Cor_Flo,Cornus_florida,NA,NA,NA,NA
124,Cor_Nut,Cornus_nuttallii,NA,NA,NA,NA
125,Cra_Spp,Crataegus_spp.,NA,NA,NA,NA
126,Fag_Gra,Fagus_grandifolia,NA,NA,NA,NA
127,Fra_Ame,Fraxinus_americana,NA,NA,NA,NA
128,Fra_Lat,Fraxinus_latifolia,NA,NA,NA,NA
129,Fra_Nig,Fraxinus_nigra,NA,NA,NA,NA
130,Fra_Pen,Fraxinus_pennsylvanica,NA,NA,NA,NA
131,Fra_Pro,Fraxinus_profunda,NA,NA,NA,NA
132,Fra_Qua,Fraxinus_quadrangulata,NA,NA,NA,NA
133,Fra_Spp,Fraxinus_spp.,NA,NA,NA,NA
134,Gle_Tri,Gleditsia_triacanthos,NA,NA,NA,NA
135,Gor_Las,Gordonia_lasianthus,NA,NA,NA,NA
136,Gym_Dio,Gymnocladus_dioicus,NA,NA,NA,NA
137,Hal_Spp,Halesia_spp.,NA,NA,NA,NA
138,Ile_Opa,Ilex_opaca,NA,NA,NA,NA
139,Jug_Cin,Juglans_cinerea,NA,NA,NA,NA
140,Jug_Nig,Juglans_nigra,NA,NA,NA,NA
141,Jug_Spp,Juglans_spp.,NA,NA,NA,NA
142,Liq_Sty,Liquidambar_styraciflua,NA,NA,NA,NA
143,Lir_Tul,Liriodendron_tulipifera,NA,NA,NA,NA
144,Lit_Den,Lithocarpus_densiflorus,NA,NA,NA,NA
145,Mac_Pom,Maclura_pomifera,NA,NA,NA,NA
146,Mag_Acu,Magnolia_acuminata,NA,NA,NA,NA
147,Mag_Gra,Magnolia_grandiflora,NA,NA,NA,NA
148,Mag_Mac,Magnolia_macrophylla,NA,NA,NA,NA
149,Mag_Spp,Magnolia_spp.,NA,NA,NA,NA
150,Mag_Vir,Magnolia_virginiana,NA,NA,NA,NA
151,Mal_Spp,Malus_spp.,NA,NA,NA,NA
152,Mor_Spp,Morus_spp.,NA,NA,NA,NA
153,Nys_Aqu,Nyssa_aquatica,NA,NA,NA,NA
154,Nys_Bif,Nyssa_biflora,NA,NA,NA,NA
155,Nys_Spp,Nyssa_spp.,NA,NA,NA,NA
156,Nys_Syl,Nyssa_sylvatica,NA,NA,NA,NA
157,Ost_Vir,Ostrya_virginiana,NA,NA,NA,NA
158,Oxy_Arb,Oxydendrum_arboreum,NA,NA,NA,NA
159,Pau_Tom,Paulownia_tomentosa,NA,NA,NA,NA
160,Per_Bor,Persea_borbonia,NA,NA,NA,NA
161,Pla_Occ,Platanus_occidentalis,NA,NA,NA,NA
162,Pla_Rac,Platanus_racemosa,NA,NA,NA,NA
163,Pop_Bal,Populus_balsamifera,NA,NA,NA,NA
164,Pop_Del,Populus_deltoides,NA,NA,NA,NA
165,Pop_Fre,Populus_fremontii,NA,NA,NA,NA
166,Pop_Gra,Populus_grandidentata,NA,NA,NA,NA
167,Pop_Het,Populus_heterophylla,NA,NA,NA,NA
168,Pop_Spp,Populus_spp.,NA,NA,NA,NA
169,Pop_Tre,Populus_tremuloides,NA,NA,NA,NA
170,Pop_Tri,Populus_trichocarpa,NA,NA,NA,NA
171,Pru_Ema,Prunus_emarginata,NA,NA,NA,NA
172,Pru_Pen,Prunus_pensylvanica,NA,NA,NA,NA
173,Pru_Ser,Prunus_serotina,NA,NA,NA,NA
174,Pru_Spp,Prunus_spp.,NA,NA,NA,NA
175,Pru_Vir,Prunus_virginiana,NA,NA,NA,NA
176,Que_Agr,Quercus_agrifolia,NA,NA,NA,NA
177,Que_Alb,Quercus_alba,NA,NA,NA,NA
178,Que_Bic,Quercus_bicolor,NA,NA,NA,NA
179,Que_Chr,Quercus_chrysolepsis,NA,NA,NA,NA
180,Que_Coc,Quercus_coccinea,NA,NA,NA,NA
181,Que_Dou,Quercus_douglasii,NA,NA,NA,NA
182,Que_Ell,Quercus_ellipsoidalis,NA,NA,NA,NA
183,Que_Eng,Quercus_engelmanni,NA,NA,NA,NA
184,Que_Fal,Quercus_falcata,NA,NA,NA,NA
185,Que_Gar,Quercus_garryana,NA,NA,NA,NA
186,Que_Imb,Quercus_imbricaria,NA,NA,NA,NA
187,Que_Kel,Quercus_kelloggii,NA,NA,NA,NA
188,Que_Lae,Quercus_laevis,NA,NA,NA,NA
189,Que_Lau,Quercus_laurifolia,NA,NA,NA,NA
190,Que_Lob,Quercus_lobata,NA,NA,NA,NA
191,Que_Lyr,Quercus_lyrata,NA,NA,NA,NA
192,Que_Mac,Quercus_macrocarpa,NA,NA,NA,NA
193,Que_Mar,Quercus_marilandica,NA,NA,NA,NA
194,Que_Mar,Quercus_marilandica,NA,NA,NA,NA
195,Que_Mic,Quercus_michauxii,NA,NA,NA,NA
196,Que_Mue,Quercus_muehlenbergii,NA,NA,NA,NA
197,Que_Nig,Quercus_nigra,NA,NA,NA,NA
198,Que_Nut,Quercus_nutallii,NA,NA,NA,NA
199,Que_Pag,Quercus_pagoda,NA,NA,NA,NA
200,Que_Pal,Quercus_palustris,NA,NA,NA,NA
201,Que_Phe,Quercus_phellos,NA,NA,NA,NA
202,Que_Rub,Quercus_rubra,NA,NA,NA,NA
