ID,Code,Scientific_Name,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source
26,Pic_Mar,Picea_mariana,251.50073,TRY,41.3,TRY,NA,NA,120,TRY,13.610928,TRY,13.039432,TRY,NA,NA,0.1,TRY,4.201215,TRY,242,TRY,1.37,TRY,4.876995,TRY,0.43,TRY,0.09392198,TRY
27,Pic_Rub,Picea_rubens,NA,NA,NA,NA,NA,NA,NA,NA,9.85,TRY,10.75,TRY,NA,NA,NA,NA,22.18413,TRY,383.33333,TRY,3.21,TRY,14.8,TRY,0.41,TRY,0.63333333,TRY
28,Pic_Sit,Picea_sitchensis,15.6132,TRY,NA,NA,NA,NA,NA,NA,10.736458,TRY,7.123067,TRY,4.6766667,TRY,NA,NA,27.081022,TRY,744.44444,TRY,1.88,TRY,6.044138,TRY,0.338724,TRY,2.46666667,TRY
29,Pic_Spp,Picea_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Pin_Alb,Pinus_albicaulis,NA,NA,45.4,TRY,NA,NA,NA,NA,10.35,TRY,NA,NA,NA,NA,0.15,TRY,17.585765,TRY,894,TRY,154,TRY,4.175,TRY,NA,NA,0.9,TRY
31,Pin_Att,Pinus_attenuata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1366667,TRY,13.455556,TRY,80,TRY,NA,NA,NA,NA,NA,NA,0.55,TRY
32,Pin_Ban,Pinus_banksiana,580.81976,TRY,40.3,TRY,NA,NA,NA,NA,12.10909,TRY,8.441558,TRY,NA,NA,0.1625,TRY,6.838779,TRY,217.6,TRY,3.68,TRY,5.808281,TRY,0.46,TRY,0.10064932,TRY
33,Pin_Cla,Pinus_clausa,70.84667,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,TRY,15.491667,TRY,100,TRY,43,TRY,6.654493,TRY,0.51,TRY,NA,NA
34,Pin_Con,Pinus_contorta,NA,NA,49.18,TRY,NA,NA,NA,NA,9.016923,TRY,9.268293,TRY,NA,NA,1.2,TRY,26.055556,TRY,462.5,TRY,5.88,TRY,3.304286,TRY,0.43,TRY,0.472,TRY
35,Pin_Con_bol,Pinus_contorta_bolanderi,NA,NA,49.18,TRY,NA,NA,NA,NA,9.016923,TRY,9.268293,TRY,NA,NA,1.2,TRY,26.055556,TRY,462.5,TRY,5.88,TRY,3.304286,TRY,0.43,TRY,0.472,TRY
36,Pin_Con_con,Pinus_contorta_contorta,NA,NA,49.18,TRY,NA,NA,NA,NA,9.016923,TRY,9.268293,TRY,NA,NA,1.2,TRY,26.055556,TRY,462.5,TRY,5.88,TRY,3.304286,TRY,0.43,TRY,0.472,TRY
37,Pin_Con_lat,Pinus_contorta_latifolia,NA,NA,49.18,TRY,NA,NA,NA,NA,9.016923,TRY,9.268293,TRY,NA,NA,1.2,TRY,26.055556,TRY,462.5,TRY,5.88,TRY,3.304286,TRY,0.43,TRY,0.472,TRY
38,Pin_Con_mur,Pinus_contorta_murrayana,NA,NA,49.18,TRY,NA,NA,NA,NA,9.016923,TRY,9.268293,TRY,NA,NA,1.2,TRY,26.055556,TRY,462.5,TRY,5.88,TRY,3.304286,TRY,0.43,TRY,0.472,TRY
39,Pin_Cou,Pinus_coulteri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,TRY,17.366667,TRY,100,TRY,236,TRY,NA,NA,NA,NA,0.65,TRY
40,Pin_Ech,Pinus_echinata,NA,NA,NA,NA,NA,NA,NA,NA,9.6,TRY,12.588235,TRY,NA,NA,0.1,TRY,37.090909,TRY,200,TRY,9.77,TRY,NA,NA,0.54,TRY,1.00333333,TRY
41,Pin_Edu,Pinus_edulis,NA,NA,NA,NA,NA,NA,66,TRY,10.6,TRY,NA,NA,NA,NA,0.1133333,TRY,13.53,TRY,783.33333,TRY,239,TRY,2.45,TRY,0.57,TRY,0.45,TRY
42,Pin_Ell,Pinus_elliottii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1566667,TRY,27.142857,TRY,200,TRY,34.9,TRY,NA,NA,0.66,TRY,0.83333333,TRY
43,Pin_Fle,Pinus_flexilis,124.4,TRY,NA,NA,95,TRY,36,TRY,11.2,TRY,NA,NA,0.6665,TRY,0.125,TRY,17.142857,TRY,700,TRY,101,TRY,6.38868,TRY,0.42,TRY,NA,NA
44,Pin_Gla,Pinus_glabra,75.60667,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,TRY,12.862222,TRY,113,TRY,9.99,TRY,13.047349,TRY,0.45,TRY,0.805,TRY
45,Pin_Jef,Pinus_jeffreyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,TRY,51.416667,TRY,450,TRY,102,TRY,NA,NA,0.42,TRY,1.44333333,TRY
46,Pin_Lam,Pinus_lambertiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135,TRY,62.285714,TRY,480,TRY,204,TRY,NA,NA,0.38,TRY,1.91,TRY
47,Pin_Mon3,Pinus_monticola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,TRY,62.133333,TRY,440,TRY,20,TRY,NA,NA,0.42,TRY,1.7,TRY
48,Pin_Pal,Pinus_palustris,297.60667,TRY,NA,NA,NA,NA,32,TRY,8.2,TRY,NA,NA,NA,NA,0.175,TRY,16.493023,TRY,450,TRY,103,TRY,3.381563,TRY,0.62,TRY,0.975,TRY
49,Pin_Pon,Pinus_ponderosa,178.85,TRY,NA,NA,116.725,TRY,NA,NA,NA,NA,NA,NA,1.3738095,TRY,0.28144,TRY,41.229048,TRY,520.83333,TRY,40.4,TRY,5.556796,TRY,0.42,TRY,0.9096908,TRY
