ID,Code,Scientific_Name,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source
108,Car_Ill,Carya_illinoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.272727,TRY,300,TRY,3700,TRY,NA,NA,0.69,TRY,2.5,TRY
109,Car_Lac,Carya_laciniosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,TRY,NA,NA,15500,TRY,NA,NA,0.62,TRY,NA,NA
110,Car_Ova,Carya_ovata,NA,NA,25.2,TRY,NA,NA,5.6,TRY,19.8,TRY,NA,NA,NA,NA,NA,NA,30.933333,TRY,300,TRY,4540,TRY,11.2,TRY,0.73,TRY,NA,NA
111,Car_Spp,Carya_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Car_Tex,Carya_texana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Car_Tom,Carya_tomentosa,42800.94595,TRY,NA,NA,295.57143,TRY,NA,NA,14.966667,TRY,19.8,TRY,NA,NA,29.5714286,TRY,13.308333,TRY,500,TRY,7780,TRY,15.779846,TRY,0.73,TRY,NA,NA
114,Cas_Den,Castanea_dentata,NA,NA,NA,NA,NA,NA,NA,NA,18.466667,TRY,NA,NA,NA,NA,8,TRY,24,TRY,NA,NA,3460,TRY,17.2,TRY,0.5,TRY,NA,NA
115,Cat_Spp,Catalpa_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Cel_Lae,Celtis_laevigata,1175.0625,TRY,NA,NA,60.42222,TRY,NA,NA,NA,NA,NA,NA,NA,NA,2.7452381,TRY,9.55814,TRY,150,TRY,208,TRY,19.030058,TRY,0.47,TRY,1,TRY
117,Cel_Occ,Celtis_occidentalis,NA,NA,20.9,TRY,NA,NA,NA,NA,25,TRY,15.352941,TRY,NA,NA,6,TRY,24.166667,TRY,175,TRY,106,TRY,18.708228,TRY,0.49,TRY,NA,NA
118,Cel_Spp,Celtis_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Cer_Bet,Cercocarpus_betuloides,NA,NA,NA,NA,NA,NA,NA,NA,16.2,TRY,14.727273,TRY,NA,NA,NA,NA,3.75,TRY,NA,NA,NA,NA,NA,NA,0.8,TRY,NA,NA
120,Cer_Can,Cercis_canadensis,6169.79011,TRY,NA,NA,84.92206,TRY,NA,NA,19.115789,TRY,NA,NA,0.1958,TRY,8.2684386,TRY,5.226316,TRY,NA,NA,NA,NA,24.313383,TRY,0.65,TRY,NA,NA
121,Cer_Led,Cercocarpus_ledifolius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,TRY,5.95,TRY,1350,TRY,NA,NA,NA,NA,NA,NA,0.6,TRY
122,Chr_Chr,Chrysolepis_chrysophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Cor_Flo,Cornus_florida,4160.18078,TRY,35.7,TRY,91.55921,TRY,5.6,TRY,14.055062,TRY,10.045635,TRY,0.1507292,TRY,5.2969586,TRY,6.622727,TRY,125,TRY,101,TRY,24.802422,TRY,0.8,TRY,NA,NA
124,Cor_Nut,Cornus_nuttallii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,TRY,14.5,TRY,NA,NA,NA,NA,35.06,TRY,0.58,TRY,0.61,TRY
125,Cra_Spp,Crataegus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Fag_Gra,Fagus_grandifolia,3907.16667,TRY,26.9,TRY,97.35433,TRY,NA,NA,16.068333,TRY,15.443548,TRY,0.146,TRY,5.3199375,TRY,30.352941,TRY,333.33333,TRY,285,TRY,25.67433,TRY,0.67,TRY,NA,NA
127,Fra_Ame,Fraxinus_americana,29544.27778,TRY,23.5,TRY,224.16667,TRY,5.7,TRY,18.492222,TRY,NA,NA,NA,NA,23.0833333,TRY,10.669388,TRY,NA,NA,45,TRY,19.694216,TRY,0.64,TRY,0.9,TRY
128,Fra_Lat,Fraxinus_latifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,TRY,250,TRY,38.1,TRY,NA,NA,0.58,TRY,NA,NA
129,Fra_Nig,Fraxinus_nigra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.583333,TRY,284.5,TRY,58.5,TRY,25.55719,TRY,0.53,TRY,0.45,TRY
130,Fra_Pen,Fraxinus_pennsylvanica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,TRY,NA,NA,35.7,TRY,22.7,TRY,0.61975,TRY,NA,NA
131,Fra_Pro,Fraxinus_profunda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,TRY,NA,NA,142,TRY,NA,NA,0.55,TRY,0.41666667,TRY
132,Fra_Qua,Fraxinus_quadrangulata,NA,NA,NA,NA,NA,NA,NA,NA,33.36667,TRY,7.253623,TRY,NA,NA,NA,NA,18.35,TRY,NA,NA,NA,NA,NA,NA,0.6,TRY,NA,NA
133,Fra_Spp,Fraxinus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,Gle_Tri,Gleditsia_triacanthos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.888889,TRY,125,TRY,167,TRY,NA,NA,0.67,TRY,NA,NA
135,Gor_Las,Gordonia_lasianthus,5846.25,TRY,NA,NA,165.03333,TRY,NA,NA,NA,NA,NA,NA,NA,NA,5.4483333,TRY,8.9,TRY,NA,NA,3.45,TRY,13.706542,TRY,NA,NA,NA,NA
136,Gym_Dio,Gymnocladus_dioicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,TRY,NA,NA,1650,TRY,NA,NA,0.68,TRY,1.2,TRY
137,Hal_Spp,Halesia_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Ile_Opa,Ilex_opaca,1418.41493,TRY,NA,NA,48.43673,TRY,NA,NA,10.8,TRY,15.428571,TRY,0.278,TRY,2.8350018,TRY,7.052632,TRY,NA,NA,16.1,TRY,12.331767,TRY,0.5,TRY,NA,NA
139,Jug_Cin,Juglans_cinerea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,TRY,75,TRY,15100,TRY,NA,NA,0.4,TRY,NA,NA
140,Jug_Nig,Juglans_nigra,NA,NA,16.9,TRY,NA,NA,5,TRY,27.65,TRY,6.8125,TRY,NA,NA,45,TRY,34.103448,TRY,200,TRY,11700,TRY,26.495,TRY,0.5974286,TRY,NA,NA
141,Jug_Spp,Juglans_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Liq_Sty,Liquidambar_styraciflua,6817.44444,TRY,NA,NA,95,TRY,NA,NA,14.489362,TRY,5.206897,TRY,NA,NA,11.15625,TRY,13.939024,TRY,NA,NA,6.06,TRY,14.244463,TRY,0.53,TRY,0.14,TRY
143,Lir_Tul,Liriodendron_tulipifera,8716.4,TRY,31.4,TRY,69.82,TRY,5.3,TRY,16.721515,TRY,15.690476,TRY,0.1763333,TRY,12.5519118,TRY,45.61065,TRY,250,TRY,49.4,TRY,39.773671,TRY,0.365,TRY,3.5,TRY
144,Lit_Den,Lithocarpus_densiflorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.86,TRY,276.66667,TRY,4230,TRY,NA,NA,0.71,TRY,NA,NA
145,Mac_Pom,Maclura_pomifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,TRY,14.384615,TRY,NA,NA,41.8,TRY,NA,NA,0.84,TRY,NA,NA
146,Mag_Acu,Magnolia_acuminata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,TRY,25.333333,TRY,125,TRY,108,TRY,NA,NA,0.52,TRY,NA,NA
147,Mag_Gra,Magnolia_grandiflora,8959.58976,TRY,NA,NA,165.34058,TRY,NA,NA,16.66,TRY,NA,NA,0.3336957,TRY,6.5963649,TRY,14.25,TRY,NA,NA,71.7,TRY,9.728233,TRY,0.4438667,TRY,NA,NA
148,Mag_Mac,Magnolia_macrophylla,NA,NA,NA,NA,NA,NA,NA,NA,24.575,TRY,9.451923,TRY,NA,NA,22.5,TRY,21.428571,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,Mag_Spp,Magnolia_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Mag_Vir,Magnolia_virginiana,6912.25,TRY,NA,NA,163.4428,TRY,NA,NA,NA,NA,NA,NA,0.3426923,TRY,6.572,TRY,9.682927,TRY,NA,NA,60.1,TRY,10.275446,TRY,0.48,TRY,NA,NA
151,Mal_Spp,Malus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Mor_Spp,Morus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Nys_Aqu,Nyssa_aquatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,TRY,NA,NA,1010,TRY,NA,NA,0.51,TRY,NA,NA
154,Nys_Bif,Nyssa_biflora,2454.7,TRY,NA,NA,85.3,TRY,NA,NA,NA,NA,NA,NA,NA,NA,3.714,TRY,10.096774,TRY,NA,NA,NA,NA,16.567139,TRY,NA,NA,NA,NA
155,Nys_Spp,Nyssa_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Nys_Syl,Nyssa_sylvatica,1366.165,TRY,NA,NA,54.1946,TRY,NA,NA,11.88,TRY,14.40678,TRY,0.1605,TRY,3.272195,TRY,23.166667,TRY,NA,NA,580,TRY,14.79205,TRY,0.55,TRY,NA,NA
157,Ost_Vir,Ostrya_virginiana,3028.125,TRY,NA,NA,97.1,TRY,NA,NA,14.666667,TRY,5.333333,TRY,NA,NA,4.5211111,TRY,10.630444,TRY,NA,NA,15,TRY,29.370475,TRY,0.63,TRY,NA,NA
158,Oxy_Arb,Oxydendrum_arboreum,NA,NA,NA,NA,NA,NA,NA,NA,14.76,TRY,17.118644,TRY,NA,NA,NA,NA,17.5,TRY,NA,NA,0.164,TRY,NA,NA,0.59,TRY,NA,NA
159,Pau_Tom,Paulownia_tomentosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,TRY,15.333333,TRY,NA,NA,0.171,TRY,NA,NA,0.32,TRY,1,TRY
160,Per_Bor,Persea_borbonia,3492.5625,TRY,NA,NA,124.93333,TRY,18,TRY,16.4,TRY,NA,NA,NA,NA,3.87875,TRY,5.333333,TRY,NA,NA,216,TRY,11.689539,TRY,NA,NA,NA,NA
161,Pla_Occ,Platanus_occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,22.4,TRY,14.933333,TRY,NA,NA,20.6,TRY,37.375,TRY,250,TRY,2.49,TRY,23.28,TRY,0.45,TRY,4,TRY
162,Pla_Rac,Platanus_racemosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRY
163,Pop_Bal,Populus_balsamifera,NA,NA,NA,NA,NA,NA,NA,NA,18.25019,TRY,9.824495,TRY,NA,NA,NA,NA,26.2,TRY,200,TRY,0.3,TRY,NA,NA,0.35,TRY,NA,NA
164,Pop_Del,Populus_deltoides,NA,NA,21.2,TRY,NA,NA,5,TRY,20.79,TRY,14.444444,TRY,NA,NA,NA,NA,31.452692,TRY,NA,NA,1.25,TRY,13.01994,TRY,0.4160115,TRY,NA,NA
165,Pop_Fre,Populus_fremontii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Pop_Gra,Populus_grandidentata,NA,NA,NA,NA,NA,NA,NA,NA,16.1,TRY,10,TRY,NA,NA,NA,NA,16.586667,TRY,100,TRY,0.164,TRY,20.051504,TRY,0.41,TRY,NA,NA
167,Pop_Het,Populus_heterophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,TRY,80,TRY,3.01,TRY,14.34,TRY,NA,NA,NA,NA
168,Pop_Spp,Populus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Pop_Tre,Populus_tremuloides,1463.13604,TRY,22.6,TRY,NA,NA,4.533333,TRY,18.717835,TRY,10.992999,TRY,NA,NA,5,TRY,6.000845,TRY,156.5,TRY,0.159,TRY,14.785341,TRY,0.365,TRY,0.11635345,TRY
170,Pop_Tri,Populus_trichocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,TRY,86.66667,TRY,NA,NA,18.233333,TRY,0.37,TRY,NA,NA
171,Pru_Ema,Prunus_emarginata,2701.31444,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,TRY,37.33333,TRY,NA,NA,15.030801,TRY,NA,NA,NA,NA
172,Pru_Pen,Prunus_pensylvanica,NA,NA,NA,NA,NA,NA,NA,NA,22,TRY,10.47619,TRY,NA,NA,NA,NA,17.5,TRY,30,TRY,34.4,TRY,14.48,TRY,0.36,TRY,0.305,TRY
173,Pru_Ser,Prunus_serotina,2703.38713,TRY,23.72883,TRY,83.2,TRY,5.5,TRY,19.056489,TRY,6.4,TRY,NA,NA,3.76,TRY,12.055932,TRY,186,TRY,96.8,TRY,18.178799,TRY,0.5893613,TRY,1.2,TRY
174,Pru_Spp,Prunus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Pru_Vir,Prunus_virginiana,1688.13326,TRY,NA,NA,NA,NA,NA,NA,16,TRY,NA,NA,NA,NA,NA,NA,7,TRY,505,TRY,61.3,TRY,16.300917,TRY,NA,NA,NA,NA
176,Que_Agr,Quercus_agrifolia,1565.01833,TRY,NA,NA,NA,NA,NA,NA,15.25,TRY,NA,NA,0.1977778,TRY,2.5,TRY,12.75,TRY,250,TRY,NA,NA,12.714439,TRY,NA,NA,NA,NA
177,Que_Alb,Quercus_alba,7542.79751,TRY,27.2,TRY,NA,NA,NA,NA,20.588132,TRY,12.866242,TRY,NA,NA,9.625,TRY,29.789474,TRY,600,TRY,3020,TRY,15.162577,TRY,0.685,TRY,0.56571429,TRY
178,Que_Bic,Quercus_bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,TRY,22.235294,TRY,325,TRY,NA,NA,NA,NA,0.6833333,TRY,NA,NA
179,Que_Chr,Quercus_chrysolepsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Que_Coc,Quercus_coccinea,NA,NA,NA,NA,NA,NA,5.7,TRY,11.76,TRY,16.880734,TRY,NA,NA,10.5,TRY,24.333333,TRY,NA,NA,NA,NA,11.8,TRY,0.6333333,TRY,NA,NA
181,Que_Dou,Quercus_douglasii,1035,TRY,NA,NA,NA,NA,NA,NA,18.983724,TRY,NA,NA,NA,NA,2.625,TRY,19.744444,TRY,395,TRY,21900,TRY,7.659193,TRY,0.75,TRY,NA,NA
182,Que_Ell,Quercus_ellipsoidalis,NA,NA,23.8,TRY,NA,NA,6,TRY,19.3,TRY,NA,NA,NA,NA,7.5,TRY,21,TRY,NA,NA,NA,NA,14.64536,TRY,NA,NA,NA,NA
183,Que_Eng,Quercus_engelmanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Que_Fal,Quercus_falcata,6640.87895,TRY,NA,NA,117.48296,TRY,NA,NA,NA,NA,NA,NA,0.1505,TRY,6.5879679,TRY,13.527778,TRY,150,TRY,840,TRY,11.72416,TRY,0.627,TRY,NA,NA
185,Que_Gar,Quercus_garryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,TRY,22.275,TRY,443.33333,TRY,5.00E+03,TRY,NA,NA,0.64,TRY,NA,NA
186,Que_Imb,Quercus_imbricaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,TRY,18,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,Que_Kel,Quercus_kelloggii,4367,TRY,NA,NA,NA,NA,NA,NA,16.75,TRY,8.010471,TRY,NA,NA,9,TRY,35.066667,TRY,500,TRY,5670,TRY,9.8395,TRY,0.615,TRY,NA,NA
188,Que_Lae,Quercus_laevis,11505.62162,TRY,NA,NA,195.9,TRY,7.6,TRY,11.5,TRY,NA,NA,NA,NA,13.6983333,TRY,7.75,TRY,NA,NA,5300,TRY,9.470647,TRY,0.639,TRY,NA,NA
189,Que_Lau,Quercus_laurifolia,2096.875,TRY,NA,NA,87.27,TRY,NA,NA,NA,NA,NA,NA,NA,NA,3.6816667,TRY,13.567568,TRY,50,TRY,810,TRY,13.345807,TRY,0.6535,TRY,NA,NA
190,Que_Lob,Quercus_lobata,2485,TRY,NA,NA,NA,NA,NA,NA,24.55,TRY,NA,NA,NA,NA,5.5,TRY,25.933333,TRY,NA,NA,4120,TRY,9.136333,TRY,0.7,TRY,NA,NA
191,Que_Lyr,Quercus_lyrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,TRY,22.818182,TRY,400,TRY,3250,TRY,NA,NA,0.64,TRY,NA,NA
192,Que_Mac,Quercus_macrocarpa,NA,NA,21.3,TRY,NA,NA,6,TRY,23.5,TRY,NA,NA,NA,NA,9.5,TRY,32.866667,TRY,400,TRY,6050,TRY,14.237501,TRY,0.67,TRY,2.1,TRY
193,Que_Mar,Quercus_marilandica,NA,NA,NA,NA,NA,NA,NA,NA,13.786,TRY,13.855276,TRY,NA,NA,10.3333333,TRY,20,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Que_Mar,Quercus_marilandica,NA,NA,NA,NA,NA,NA,NA,NA,13.786,TRY,13.855276,TRY,NA,NA,10.3333333,TRY,20,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Que_Mic,Quercus_michauxii,10514.22222,TRY,NA,NA,141.6,TRY,NA,NA,NA,NA,NA,NA,NA,NA,9.53,TRY,9.694444,TRY,NA,NA,6890,TRY,19.141598,TRY,0.7315,TRY,NA,NA
196,Que_Mue,Quercus_muehlenbergii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,TRY,20.888889,TRY,NA,NA,NA,NA,19.646365,TRY,NA,NA,NA,NA
197,Que_Nig,Quercus_nigra,2712.26797,TRY,NA,NA,85.6865,TRY,NA,NA,NA,NA,NA,NA,0.14575,TRY,3.8899848,TRY,11.666667,TRY,NA,NA,1140,TRY,13.758322,TRY,0.6915,TRY,NA,NA
198,Que_Nut,Quercus_nutallii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Que_Pag,Quercus_pagoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,TRY,26,TRY,150,TRY,NA,NA,NA,NA,NA,NA,NA,NA
200,Que_Pal,Quercus_palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,TRY,28.913043,TRY,114,TRY,1020,TRY,NA,NA,0.655,TRY,1.5,TRY
201,Que_Phe,Quercus_phellos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,TRY,29.769231,TRY,NA,NA,3070,TRY,NA,NA,0.69,TRY,NA,NA
202,Que_Rub,Quercus_rubra,12035.78289,TRY,24.53333,TRY,NA,NA,NA,NA,20.550387,TRY,17.154567,TRY,NA,NA,10.75,TRY,24.990415,TRY,450,TRY,2710,TRY,15.705276,TRY,0.66,TRY,0.016304,TRY
203,Que_Shu,Quercus_shumardii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,TRY,32.888889,TRY,480,TRY,4680,TRY,NA,NA,0.644,TRY,NA,NA
204,Que_Spp,Quercus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,24.404167,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Que_Ste,Quercus_stellata,5019.16667,TRY,NA,NA,111.25033,TRY,NA,NA,15.402,TRY,10.688411,TRY,0.211,TRY,8.217697,TRY,20.6,TRY,350,TRY,1400,TRY,22.371487,TRY,0.7305,TRY,NA,NA
206,Que_Vel,Quercus_velutina,NA,NA,34,TRY,NA,NA,NA,NA,19.86,TRY,15.235294,TRY,NA,NA,11.5,TRY,31.714286,TRY,183.33333,TRY,3090,TRY,17.924844,TRY,0.67,TRY,NA,NA
207,Que_Vir,Quercus_virginiana,1398.11889,TRY,NA,NA,72.92,TRY,11,TRY,16.225,TRY,7.733645,TRY,0.2544444,TRY,3.315,TRY,15.410256,TRY,NA,NA,1290,TRY,7.408829,TRY,0.946,TRY,NA,NA
208,Que_Wis,Quercus_wislizenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,TRY,17.3,TRY,175,TRY,NA,NA,NA,NA,NA,NA,NA,NA
209,Rob_Pse,Robinia_pseudoacacia,1931,TRY,NA,NA,50,TRY,4.6,TRY,38.063626,TRY,13.655172,TRY,NA,NA,2,TRY,17.452,TRY,126.66667,TRY,18.8,TRY,41.983681,TRY,0.7031972,TRY,0.68666667,TRY
210,Sal_Eri,Salix_eriocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Sal_Nig,Salix_nigra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,TRY,70,TRY,0.19,TRY,19.5,TRY,0.41,TRY,NA,NA
212,Sal_Spp,Salix_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Sas_Alb,Sassafras_albidum,3513.38461,TRY,NA,NA,103.93306,TRY,NA,NA,NA,NA,NA,NA,0.1883333,TRY,6.4070263,TRY,7.158974,TRY,65,TRY,93.6,TRY,25.035417,TRY,0.47,TRY,NA,NA
214,Sor_Ame,Sorbus_americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,TRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Til_Ame,Tilia_americana,7259.30138,TRY,NA,NA,117.69486,TRY,NA,NA,24.583333,TRY,10.333333,TRY,0.15125,TRY,8.5552536,TRY,12.35,TRY,200,TRY,40.8,TRY,27.760153,TRY,0.4,TRY,NA,NA
216,Til_Het,Tilia_heterophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,TRY,NA,NA,71,TRY,NA,NA,NA,NA,0.7,TRY
217,Til_Spp,Tilia_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,Ulm_Ala,Ulmus_alata,1040.54167,TRY,NA,NA,65.3,TRY,NA,NA,NA,NA,NA,NA,NA,NA,2.5025,TRY,8.135135,TRY,NA,NA,NA,NA,21.796358,TRY,0.73,TRY,NA,NA
219,Ulm_Ame,Ulmus_americana,NA,NA,25.9,TRY,NA,NA,5.8,TRY,18.622857,TRY,11.538462,TRY,NA,NA,4.5,TRY,37.142857,TRY,258.33333,TRY,6.53,TRY,10.145,TRY,0.55,TRY,NA,NA
220,Ulm_Pum,Ulmus_pumilia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Ulm_Rub,Ulmus_rubra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,TRY,29.8,TRY,200,TRY,10.6,TRY,23.235131,TRY,0.57,TRY,NA,NA
222,Ulm_Spp,Ulmus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,Ulm_Tho,Ulmus_thomasii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,TRY,29,TRY,300,TRY,68.7,TRY,NA,NA,0.66,TRY,NA,NA
224,Umb_Cal,Umbellularia_californica,1615,TRY,32.2,TRY,NA,NA,NA,NA,15.033333,TRY,NA,NA,NA,NA,2.25,TRY,30.5,TRY,NA,NA,2030,TRY,8.427,TRY,0.55,TRY,NA,NA
225,Abi_Fra,Abies_fraseri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,Abi_Sha,Abies_shastensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
