ID,Code,Scientific_Name,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source
23,Pic_Bre,Picea_breweriana,1,0.635,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,8.0,FVS FFE
24,Pic_Eng,Picea_engelmannii,1,0.9143999999999999,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,6.0,FVS FFE
25,Pic_Gla,Picea_glauca,1,0.635,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,7.333333,FVS FFE
26,Pic_Mar,Picea_mariana,1,0.8128,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,8.0,FVS FFE
27,Pic_Rub,Picea_rubens,1,0.8636,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,8.0,FVS FFE
28,Pic_Sit,Picea_sitchensis,1,0.6858,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,5.0,FVS FFE
29,Pic_Spp,Picea_spp.,1,0.8636,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,8.0,FVS FFE
30,Pin_Alb,Pinus_albicaulis,1,0.7619999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
31,Pin_Att,Pinus_attenuata,1,0.7619999999999999,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,4.0,FVS FFE
32,Pin_Ban,Pinus_banksiana,1,1.016,FVS FFE,24.9,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
33,Pin_Cla,Pinus_clausa,1,0.889,FVS FFE,28.7,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
34,Pin_Con,Pinus_contorta,1,0.7111999999999999,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
35,Pin_Con_bol,Pinus_contorta_bolanderi,1,0.7111999999999999,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
36,Pin_Con_con,Pinus_contorta_contorta,1,0.7111999999999999,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
37,Pin_Con_lat,Pinus_contorta_latifolia,1,0.7111999999999999,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
38,Pin_Con_mur,Pinus_contorta_murrayana,1,0.7111999999999999,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
39,Pin_Cou,Pinus_coulteri,1,1.6001999999999998,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
40,Pin_Ech,Pinus_echinata,1,0.9397999999999999,FVS FFE,29.3,FVS FFE,4.0,FVS FFE,4.0,FVS FFE
41,Pin_Edu,Pinus_edulis,1,1.5748,FVS FFE,31.8,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
42,Pin_Ell,Pinus_elliottii,1,1.397,FVS FFE,33.7,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
43,Pin_Fle,Pinus_flexilis,1,0.7619999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
44,Pin_Gla,Pinus_glabra,1,0.889,FVS FFE,25.6,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
45,Pin_Jef,Pinus_jeffreyi,1,1.7272,FVS FFE,21.2,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
46,Pin_Lam,Pinus_lambertiana,1,1.8287999999999998,FVS FFE,21.2,FVS FFE,4.0,FVS FFE,3.0,FVS FFE
47,Pin_Mon3,Pinus_monticola,1,0.889,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,3.5,FVS FFE
48,Pin_Pal,Pinus_palustris,1,1.2446,FVS FFE,33.7,FVS FFE,4.0,FVS FFE,2.0,FVS FFE
49,Pin_Pon,Pinus_ponderosa,1,1.6001999999999998,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.5,FVS FFE
50,Pin_Pon_bra,Pinus_ponderosa_brachyptera,1,1.6001999999999998,FVS FFE,23.7,FVS FFE,4.0,FVS FFE,3.5,FVS FFE
