ID,CA_ID,Code,Scientific_Name,CodeNum,Generic,Subsp,Western,California,Gymno,Has_BA
1,1,Abi_Ama,Abies_amabilis,11,0,0,1,1,1,1
2,NA,Abi_Bal,Abies_balsamea,12,0,0,0,0,1,1
3,2,Abi_Con,Abies_concolor,15,0,0,1,1,1,1
4,3,Abi_Gra,Abies_grandis,17,0,0,1,1,1,1
5,4,Abi_Las,Abies_lasiocarpa,19,0,0,1,1,1,1
6,5,Abi_Mag,Abies_magnifica,20,0,0.5,1,1,1,1
7,6,Abi_Mag_mag,Abies_magnifica_magnifica,NA,0,1,1,NA,1,0
8,7,Abi_Mag_sha,Abies_magnifica_shastensis,NA,0,1,1,NA,1,0
9,8,Abi_Pro,Abies_procera,22,0,0,1,1,1,1
10,NA,Abi_Spp,Abies_spp.,10,1,NA,NA,NA,1,1
11,9,Cal_Dec,Calocedrus_decurrens,81,0,0,1,1,1,1
12,10,Cha_Law,Chamaecyparis_lawsonia,41,0,0,1,1,1,1
13,NA,Cha_Noo,Chamaecyparis_nootkatensis,42,0,0,1,0,1,1
14,NA,Cha_Thy,Chamaecyparis_thyoides,43,0,0,0,0,1,1
15,11,Jun_Occ,Juniperus_occidentalis,64,0,0,1,1,1,1
16,NA,Jun_Sco,Juniperus_scopulorum,66,0,0,1,0,1,1
17,NA,Jun_Spp,Juniperus_spp.,57,1,NA,NA,NA,1,1
18,NA,Jun_Vir,Juniperus_virginiana,68,0,0,0,0,1,1
19,NA,Lar_Lar,Larix_laricina,71,0,0,0,0,1,1
20,NA,Lar_Lya,Larix_lyallii,72,0,0,1,0,1,0
21,NA,Lar_Occ,Larix_occidentalis,73,0,0,1,0,1,1
22,NA,Pic_Abi,Picea_abies,91,0,0,NA,NA,1,1
23,12,Pic_Bre,Picea_breweriana,NA,0,0,1,1,1,0
24,13,Pic_Eng,Picea_engelmannii,93,0,0,1,1,1,1
25,NA,Pic_Gla,Picea_glauca,94,0,0,1,0,1,1
26,NA,Pic_Mar,Picea_mariana,95,0,0,0,0,1,1
27,NA,Pic_Rub,Picea_rubens,97,0,0,0,0,1,1
28,14,Pic_Sit,Picea_sitchensis,98,0,0,1,1,1,1
29,NA,Pic_Spp,Picea_spp.,90,1,NA,NA,NA,1,1
30,15,Pin_Alb,Pinus_albicaulis,101,0,0,1,1,1,1
31,16,Pin_Att,Pinus_attenuata,103,0,0,1,1,1,0
32,NA,Pin_Ban,Pinus_banksiana,105,0,0,0,0,1,1
33,NA,Pin_Cla,Pinus_clausa,107,0,0,0,0,1,1
34,17,Pin_Con,Pinus_contorta,108,0,0.5,1,1,1,1
35,18,Pin_Con_bol,Pinus_contorta_bolanderi,NA,0,1,1,1,1,0
36,19,Pin_Con_con,Pinus_contorta_contorta,NA,0,1,1,1,1,0
37,20,Pin_Con_lat,Pinus_contorta_latifolia,NA,0,1,1,1,1,0
38,21,Pin_Con_mur,Pinus_contorta_murrayana,NA,0,1,1,1,1,0
39,22,Pin_Cou,Pinus_coulteri,109,0,0,1,1,1,0
40,NA,Pin_Ech,Pinus_echinata,110,0,0,0,0,1,1
41,23,Pin_Edu,Pinus_edulis,106,0,0,1,1,1,1
42,NA,Pin_Ell,Pinus_elliottii,111,0,0,0,0,1,1
43,24,Pin_Fle,Pinus_flexilis,113,0,0,1,1,1,1
44,NA,Pin_Gla,Pinus_glabra,115,0,0,0,0,1,1
45,25,Pin_Jef,Pinus_jeffreyi,116,0,0,1,1,1,1
46,26,Pin_Lam,Pinus_lambertiana,117,0,0,1,1,1,1
47,27,Pin_Mon3,Pinus_monticola,119,0,0,1,1,1,1
