Common name,Scientific name,spp code
magnolia spp.,Magnolia spp.,650
cucumbertree,Magnolia acuminata,651
southern magnolia,Magnolia grandiflora,652
sweetbay,Magnolia virginiana,653
bigleaf magnolia,Magnolia macrophylla,654
mountain or Fraser magnolia,Magnolia fraseri,655
umbrella magnolia,Magnolia tripetala,658
apple spp.,Malus spp.,660
Oregon crab apple,Malus fusca,661
southern crab apple,Malus angustifolia,662
sweet crab apple,Malus coronaria,663
prairie crab apple,Malus ioensis,664
mulberry spp.,Morus spp.,680
white mulberry,Morus alba,681
red mulberry,Morus rubra,682
Texas mulberry,Morus microphylla,683
tupelo spp.,Nyssa spp.,690
water tupelo,Nyssa aquatica,691
Ogeechee tupelo,Nyssa ogeche,692
blackgum,Nyssa sylvatica,693
swamp tupelo,Nyssa biflora,694
eastern hophornbeam,Ostrya virginiana,701
sourwood,Oxydendrum arboreum,711
"paulownia, empress-tree",Paulownia tomentosa,712
bay spp.,Persea spp.,720
redbay,Persea borbonia,721
"water-elm, planertree",Planera aquatica,722
sycamore spp.,Platanus spp.,729
American sycamore,Platanus occidentalis,731
cottonwood and poplar spp.,Populus spp.,740
balsam poplar,Populus balsamifera,741
eastern cottonwood,Populus deltoides,742
bigtooth aspen,Populus grandidentata,743
swamp cottonwood,Populus heterophylla,744
plains cottonwood,Populus deltoides,745
quaking aspen,Populus tremuloides,746
black cottonwood,Populus balsamifera,747
silver poplar,Populus alba,752
Lombardy poplar,Populus nigra,753
mesquite spp.,Prosopis spp.,755
honey mesquite ,Prosopis glandulosa,756
screwbean mesquite,Prosopis pubescens,758
cherry and plum spp.,Prunus spp.,760
pin cherry,Prunus pensylvanica,761
black cherry,Prunus serotina,762
chokecherry,Prunus virginiana,763
peach,Prunus persica,764
Canada plum,Prunus nigra,765
American plum,Prunus americana,766
"sweet cherry, domesticated",Prunus avium,771
oak spp,Quercus spp.,800
white oak,Quercus alba,802
swamp white oak,Quercus bicolor,804
canyon live oak,Quercus chrysolepis,805
scarlet oak,Quercus coccinea,806
Durand oak,Quercus sinuata,808
northern pin oak,Quercus ellipsoidalis,809
Emory oak,Quercus emoryi,810
southern red oak,Quercus falcata,812
cherrybark oak,Quercus pagoda,813
Gambel oak,Quercus gambelii,814
scrub oak,Quercus ilicifolia,816
shingle oak,Quercus imbricaria,817
California black oak,Quercus kelloggii,818
turkey oak,Quercus laevis,819
laurel oak,Quercus laurifolia,820
overcup oak,Quercus lyrata,822
bur oak,Quercus macrocarpa,823
blackjack oak,Quercus marilandica,824
swamp chestnut oak,Quercus michauxii,825
chinkapin oak,Quercus muehlenbergii,826
water oak,Quercus nigra,827
Texas red oak,Quercus texana,828
pin oak,Quercus palustris,830
willow oak,Quercus phellos,831
chestnut oak,Quercus prinus,832
northern red oak,Quercus rubra,833
Shumard oak,Quercus shumardii,834
post oak,Quercus stellata,835
Delta post oak,Quercus similis,836
black oak,Quercus velutina,837
live oak,Quercus virginiana,838
dwarf post oak,Quercus margarettiae,840
dwarf live oak,Quercus minima,841
bluejack oak,Quercus incana,842
silverleaf oak,Quercus hypoleucoides,843
Oglethorpe oak,Quercus oglethorpensis,844
dwarf chinkapin oak,Quercus prinoides,845
gray oak,Quercus grisea,846
pond-apple  ,Annona glabra,853
gumbo limbo  ,Bursera simaruba,854
belah,Casuarina lepidophloia,857
camphortree,Cinnamomum camphora,858
citrus spp.,Citrus spp.,860
Bluewood,Condalia hookeri,867
red stopper,Eugenia rhombea,873
Florida strangler fig,Ficus aurea,876
Florida poisontree,Metopium toxiferum,886
fishpoison tree,Piscidia piscipula,887
Java plum,Syzygium cumini,896
black locust,Robinia pseudoacacia,901
royal palm spp.,Roystonea spp.,909
cabbage palmetto,Sabal palmetto,912
key thatch palm,Thrinax morrisii,913
other palms,Family Arecaceae not listed above,915
western soapberry,Sapindus saponaria,919
willow spp.,Salix spp.,920
peachleaf willow,Salix amygdaloides,921
black willow,Salix nigra,922
Bebb willow,Salix bebbiana,923
coastal plain willow,Salix caroliniana,925
white willow,Salix alba,927
weeping willow,Salix sepulcralis,929
sassafras,Sassafras albidum,931
American mountain-ash,Sorbus americana,935
European mountain-ash,Sorbus aucuparia,936
basswood spp.,Tilia spp.,950
American basswood,Tilia americana,951
white basswood,Tilia americana,952
Carolina basswood,Tilia americana,953
elm spp.,Ulmus spp.,970
winged elm,Ulmus alata,971
American elm,Ulmus americana,972
cedar elm,Ulmus crassifolia,973
Siberian elm,Ulmus pumila,974
slippery elm,Ulmus rubra,975
September elm,Ulmus serotina,976
rock elm,Ulmus thomasii,977
California-laurel,Umbellularia californica,981
black-mangrove,Avicennia germinans,986
buttonwood-mangrove,Conocarpus erectus,987
white-mangrove,Laguncularia racemosa,988
American mangrove,Rhizophora mangle,989
saltcedar,Tamarix spp.,991
melaleuca,Melaleuca quinquenervia,992
chinaberry,Melia azedarach,993
Chinese tallowtree,Triadica sebifera,994
tungoil tree,Vernicia fordii,995
smoketree,Cotinus obovatus,996
Russian-olive,Elaeagnus angustifolia,997
Unknown dead hardwood,Tree broadleaf,998
Other or unknown live tree,Tree unknown,999
