Scientific_Name,Code,CodeNum,Western,California,Gymno,Has_BA,Bark.Thickness.25.4.FOFEM2017,Plant.height,Self.pruning,Flame_duration,Flame_ht,Pct_consumed,bt.quant,ph.quant,sp.quant,fd.quant,fh.quant,pc.quant,frs
Abies_amabilis,Abi_Ama,11,1,1,1,1,1.1938,51.27,5,79.8,38.4,32,0.6551724137931034,0.7241379310344828,0.7692307692307693,0.7333333333333333,0.26666666666666666,0.26666666666666666,0.6124031007751938
Abies_concolor,Abi_Con,15,1,1,1,1,1.2192,46.307692,4,NA,NA,NA,0.6896551724137931,0.4827586206896552,0.46153846153846156,NA,NA,NA,0.5476190476190477
Abies_grandis,Abi_Gra,17,1,1,1,1,1.1684,59.425,4,NA,NA,NA,0.6206896551724138,0.8620689655172413,0.46153846153846156,NA,NA,NA,0.6547619047619048
Abies_lasiocarpa,Abi_Las,19,1,1,1,1,1.0414,27.410506,2,79.8,16.7,25.6,0.5517241379310345,0.3448275862068966,0.2692307692307692,0.7333333333333333,0.06666666666666667,0.13333333333333333,0.3643410852713178
Abies_magnifica,Abi_Mag,20,1,1,1,1,0.9906,46.785714,5,NA,NA,NA,0.4482758620689655,0.5172413793103449,0.7692307692307693,NA,NA,NA,0.5714285714285715
Abies_procera,Abi_Pro,22,1,1,1,1,1.143,55.1228,5,NA,NA,NA,0.5862068965517241,0.8275862068965517,0.7692307692307693,NA,NA,NA,0.7261904761904762
Calocedrus_decurrens,Cal_Dec,81,1,1,1,1,1.524,48.083333,5,NA,NA,NA,0.7241379310344828,0.5517241379310345,0.7692307692307693,NA,NA,NA,0.6785714285714286
Chamaecyparis_lawsonia,Cha_Law,41,1,1,1,1,2.0574,50,3,NA,NA,NA,1,0.6206896551724138,0.34615384615384615,NA,NA,NA,0.6666666666666667
Chamaecyparis_nootkatensis,Cha_Noo,42,1,0,1,1,0.5588,35.4375,NA,NA,NA,NA,0.034482758620689655,0.3793103448275862,NA,NA,NA,NA,0.20689655172413793
Juniperus_occidentalis,Jun_Occ,64,1,1,1,1,0.635,15.871334,2,NA,NA,NA,0.10344827586206896,0.10344827586206896,0.2692307692307692,NA,NA,NA,0.15476190476190477
